,service,qnt,cnt
0,Prime,Maggie Binkley,56
1,Netflix,Anupam Kher,43
2,Netflix,Shah Rukh Khan,35
3,Prime,1,35
4,Netflix,Julie Tejwani,33
5,Disney,Jim Cummings,33
6,Prime,Gene Autry,32
7,Netflix,Takahiro Sakurai,32
8,Netflix,Naseeruddin Shah,32
9,Netflix,Rupa Bhimani,31
10,Netflix,Om Puri,30
11,Prime,Nassar,30
12,Netflix,Akshay Kumar,30
13,Prime,Champion,29
14,Netflix,Yuki Kaji,29
16,Netflix,Paresh Rawal,28
15,Netflix,Amitabh Bachchan,28
17,Netflix,Boman Irani,27
18,Netflix,Vincent Tong,26
19,Netflix,Rajesh Kava,26
20,Netflix,Andrea Libman,25
21,Prime,Anne-Marie Newland,25
22,Netflix,Kareena Kapoor,25
23,Netflix,John Cleese,24
24,Netflix,Samuel L. Jackson,24
25,Prime,Prakash Raj,24
26,Prime,Roy Rogers,23
27,Netflix,Fred Tatasciore,23
28,Netflix,Tara Strong,23
29,Prime,John Wayne,23
30,Netflix,Jigna Bhardwaj,23
33,Prime,Cassandra Peterson,22
31,Netflix,Daisuke Ono,22
32,Prime,Danny Trejo,22
35,Netflix,Ajay Devgn,21
36,Netflix,Junichi Suwabe,21
37,Netflix,Nicolas Cage,21
38,Netflix,Nawazuddin Siddiqui,21
39,Netflix,Kay Kay Menon,21
34,Netflix,Ashleigh Ball,21
43,Disney,Walt Disney,20
44,Netflix,David Attenborough,20
42,Prime,Michael Madsen,20
41,Netflix,Adam Sandler,20
40,Netflix,Salman Khan,20
51,Netflix,Mamoru Miyano,19
56,Netflix,James Franco,19
55,Netflix,Seth Rogen,19
54,Disney,Larry the Cable Guy,19
53,Prime,Amitabh Bachchan,19
52,Netflix,Morgan Freeman,19
48,Netflix,Yuichi Nakamura,19
50,Netflix,David Spade,19
49,Netflix,Erin Fitzgerald,19
47,Netflix,Ai Kayano,19
46,Netflix,Fred Armisen,19
45,Netflix,Gulshan Grover,19
64,Netflix,Laura Bailey,18
69,Netflix,Anil Kapoor,18
68,Prime,Erin Webbs,18
67,Netflix,Rajesh Sharma,18
66,Prime,Eric Roberts,18
65,Netflix,Vatsal Dubey,18
63,Netflix,Yashpal Sharma,18
61,Netflix,Diana Kaarina,18
60,Prime,Ph.D.,18
59,Disney,Bill Farmer,18
58,Netflix,Fortune Feimster,18
62,Netflix,Kana Hanazawa,18
57,Netflix,Debi Derryberry,18
82,Netflix,Bruce Willis,17
79,Netflix,Jackie Shroff,17
85,Netflix,Brian Drummond,17
84,Netflix,Danny Trejo,17
83,Netflix,Alessandro Juliani,17
81,Netflix,Molly Shannon,17
80,Prime,Grace Tamayo,17
78,Netflix,Michela Luci,17
77,Prime,Anjali,17
76,Netflix,Kate Higgins,17
75,Netflix,Rajpal Yadav,17
74,Netflix,Saif Ali Khan,17
73,Prime,Mystery Science Theater 3000 Guys,17
72,Netflix,Priyanka Chopra,17
71,Prime,Vivek,17
70,Netflix,Asrani,17
108,Netflix,Sanjay Mishra,16
103,Disney,Tress MacNeille,16
104,Netflix,Amrish Puri,16
105,Netflix,Sam Vincent,16
106,Netflix,Blossom Chukwujekwu,16
107,Netflix,Mike Epps,16
