,service,cast,release_year,cnt
0,Prime,1,2021,35
1,Prime,Ph.D.,2019,18
2,Prime,Maggie Binkley,2019,17
3,Prime,Maggie Binkley,2017,16
4,Prime,Anne-Marie Newland,2016,12
5,Prime,Cassandra Peterson,2011,11
6,Netflix,Fortune Feimster,2021,11
7,Prime,Maggie Binkley,2018,11
8,Prime,Cassandra Peterson,2010,10
9,Netflix,London Hughes,2021,10
10,Prime,Erin Webbs,2019,10
11,Prime,Om Nom,2021,10
12,Netflix,David Spade,2021,10
14,Prime,Grace Tamayo,2019,9
13,Disney,Tony Hale,2019,9
15,Netflix,Vincent Tong,2019,8
16,Netflix,Andrea Libman,2018,8
17,Prime,Gene Autry,1953,8
27,Disney,Bob Peterson,2019,7
35,Prime,Vijay,2021,7
34,Prime,Maggie Binkley,2020,7
33,Prime,Anushka Shetty,2020,7
32,Netflix,Tiffany Haddish,2019,7
30,Prime,LooLoo Kids,2021,7
29,Prime,Madhavan,2020,7
28,Netflix,Michela Luci,2019,7
31,Prime,Champion,1953,7
26,Prime,Anne-Marie Newland,2020,7
24,Prime,Michael Madsen,2020,7
23,Netflix,Kathleen Barr,2019,7
22,Prime,Cut the Rope,2021,7
21,Netflix,Alessandro Juliani,2019,7
20,Prime,Nasser,2021,7
19,Prime,Nassar,2021,7
18,Prime,Anjali,2020,7
25,Netflix,Radhika Apte,2018,7
69,Netflix,Julie Tejwani,2013,6
73,Disney,Dove Cameron,2019,6
72,Netflix,Takahiro Sakurai,2018,6
71,Netflix,Eric Peterson,2019,6
70,Netflix,Julie Lemieux,2019,6
65,Netflix,Elyse Maloway,2019,6
68,Netflix,Vincent Tong,2018,6
67,Prime,Sylvester Stallone,2019,6
66,Disney,Tom Kane,2014,6
75,Netflix,Keith Wickham,2020,6
64,Netflix,Jamie Watson,2019,6
74,Prime,Maggie,2021,6
80,Disney,Larry the Cable Guy,2010,6
76,Netflix,Craig Sechler,2017,6
77,Netflix,Swapnil,2013,6
78,Netflix,Rajesh Kava,2013,6
79,Prime,Aaron Michael,2019,6
81,Netflix,Jigna Bharadhwaj,2018,6
82,Netflix,Rajesh Kawa,2018,6
83,Netflix,Andrea Libman,2019,6
84,Prime,Jagapathi Babu,2021,6
85,Netflix,Vatsal Dubey,2013,6
86,Netflix,Tabitha St. Germain,2018,6
87,Netflix,Jigna Bhardwaj,2013,6
62,Netflix,Sonal Kaushal,2019,6
63,Prime,Ravi Kishan,2019,6
58,Prime,Gene Autry,1951,6
61,Prime,Nayanthara,2019,6
47,Prime,Champion,1950,6
60,Netflix,Anupam Kher,2013,6
36,Netflix,Nawazuddin Siddiqui,2019,6
37,Prime,Aditi Rao Hydari,2020,6
38,Prime,Malavika Mohanan,2021,6
39,Netflix,Rupa Bhimani,2018,6
40,Disney,Keith Ferguson,2010,6
41,Netflix,Rupa Bhimani,2013,6
43,Prime,Prakash Raj,2021,6
44,Disney,Trevor Devall,2014,6
45,Netflix,Ian James Corlett,2019,6
46,Prime,Champion,1951,6
42,Netflix,Mousam,2013,6
48,Prime,Mohanlal,2019,6
54,Netflix,Samuel West,2013,6
49,Netflix,Julie Tejwani,2018,6
57,Netflix,Ashleigh Ball,2018,6
56,Disney,Anthony Daniels,2014,6
55,Prime,Nani,2020,6
59,Prime,Gene Autry,1950,6
53,Prime,LB,2019,6
52,Prime,Nivetha Thomas,2020,6
51,Prime,Vijay Sethupathi,2021,6
50,Netflix,Blossom Chukwujekwu,2020,6
123,Netflix,Sunil Sukhada,2017,5
128,Disney,Kathreen Khavari,2019,5
127,Netflix,Daisuke Ono,2016,5
126,Prime,Mystery Science Theater 3000 Guys,2019,5
125,Netflix,Anna Claire Bartlam,2019,5
124,Prime,Sabrina Glow,2019,5
121,Netflix,Erin Fitzgerald,2016,5
122,Netflix,Michael Shannon,2016,5
130,Netflix,Toyin Abraham,2020,5
120,Netflix,Grey Griffin,2021,5
119,Prime,Test Actor 1,2019,5
118,Netflix,Takahiro Sakurai,2016,5
129,Netflix,Daisuke Ono,2018,5
144,Prime,Sudheer Babu,2020,5
131,Prime,Anne-Marie Newland,2014,5
132,Netflix,Toyin Abraham,2019,5
133,Netflix,Nicole Anthony,2019,5
134,Netflix,Fred Armisen,2017,5
135,Netflix,Nicolas Aqui,2019,5
136,Netflix,Tara Strong,2018,5
137,Prime,Test Actor 2,2019,5
138,Netflix,James Franco,2015,5
140,Prime,Mary Kay Kayaltizer,2019,5
141,Prime,Suman,2021,5
142,Prime,Nassar,2019,5
143,Disney,Sam Vincent,2014,5
116,Netflix,Kathleen Barr,2018,5
117,Prime,Champion,1952,5
139,Prime,Maggie Binkley,2016,5
115,Netflix,Dayci Brookshire,2020,5
100,Netflix,Ai Kayano,2018,5
114,Netflix,Joan Cusack,2019,5
88,Netflix,Bayoumi Fouad,2017,5
89,Prime,Stevin John,2021,5
90,Netflix,Rob Rackstraw,2020,5
91,Prime,Yash,2018,5
92,Netflix,Britt McKillip,2019,5
93,Netflix,Adam Scott,2017,5
95,Disney,Dee Baker,2019,5
96,Netflix,Cory Doran,2019,5
97,Prime,Samuthirakani,2018,5
98,Prime,Gene Autry,1952,5
99,Netflix,Miyuki Sawashiro,2014,5
94,Netflix,Michela Luci,2020,5
101,Netflix,Diana Kaarina,2019,5
107,Netflix,Alessandro Juliani,2018,5
102,Netflix,Seth Rogen,2008,5
112,Netflix,Julie Tejwani,2019,5
111,Prime,Achyuth Kumar,2021,5
110,Netflix,Kana Hanazawa,2017,5
109,Netflix,Mohammed Tharwat,2017,5
108,Disney,Matt Sloan,2014,5
113,Netflix,Kim Coates,2016,5
106,Netflix,Michelle Buteau,2020,5
105,Prime,Gene Autry,1949,5
104,Netflix,Steven Yeun,2018,5
103,Netflix,Indrans,2017,5
323,Prime,Prakash Raj,2017,4
328,Netflix,Alan C. Lim,2020,4
327,Prime,JP,2021,4
326,Netflix,Erika Fong,2011,4
325,Prime,Donna D' Cruz,2020,4
324,Prime,Munishkanth,2020,4
316,Netflix,Maria Bamford,2017,4
321,Netflix,Rob Schneider,2020,4
320,Netflix,Surya Ganapathy,2021,4
319,Netflix,Stellan Skarsgård,2013,4
318,Prime,Nani,2021,4
317,Prime,John Terrence Cable,2001,4
315,Prime,Amitabh Bachchan,2019,4
330,Netflix,Fortune Feimster,2020,4
329,Prime,Roy Rogers,1942,4
343,Netflix,Jamie Watson,2020,4
331,Prime,Avinash,2021,4
332,Prime,"George ""Gabby"" Hayes",1934,4
333,Netflix,Paresh Rawal,2006,4
334,Prime,Mammootty,2019,4
335,Prime,Suniel Shetty,2021,4
336,Prime,Soori,2017,4
337,Netflix,Ashleigh Ball,2016,4
338,Prime,Tory Monay,2020,4
339,Netflix,Reina Ueda,2018,4
340,Prime,Prabhas,2019,4
341,Netflix,Akshay Kumar,2006,4
342,Prime,Ramachandra Raju,2018,4
313,Prime,Champion,1949,4
344,Netflix,Adam Pally,2017,4
345,Netflix,Walton Goggins,2015,4
314,Netflix,Kazuhiro Yamaji,2017,4
300,Prime,Samuel L. Jackson,1992,4
312,Prime,Diganth Manchale,2021,4
295,Netflix,Noah Kaye Bentley,2020,4
281,Netflix,Skai Jackson,2020,4
282,Netflix,Seth Rogen,2011,4
283,Prime,Vishnu Manchu,2021,4
284,Netflix,Alex Heartman,2011,4
285,Prime,Jayaprakash,2013,4
286,Netflix,Patrick Wilson,2016,4
287,Prime,Dhanush,2020,4
288,Prime,Erin Webbs,2020,4
289,Netflix,Tim Roth,2015,4
290,Netflix,Cory Doran,2020,4
291,Netflix,Rajesh Kava,2019,4
292,Prime,Sayyeshaa Saigal,2021,4
293,Prime,Prithviraj Sukumaran,2019,4
294,Netflix,Tina Mba,2020,4
296,Prime,Vivek Oberoi,2019,4
311,Prime,Martin Lawrence,2011,4
297,Netflix,Nassar,2015,4
298,Netflix,Judy Greer,2017,4
299,Netflix,Nasser,2012,4
347,Prime,Vijay Sethupathi,2019,4
301,Disney,Kirby Morrow,2014,4
302,Netflix,Taapsee Pannu,2019,4
303,Netflix,Jigna Bharadhwaj,2019,4
304,Prime,Dominic Purcell,2013,4
305,Netflix,Scoot McNairy,2017,4
306,Prime,Grace Tamayo,2020,4
307,Netflix,Najee De-Tiege,2011,4
308,Netflix,Yuki Kaji,2018,4
309,Netflix,Kari Wahlgren,2019,4
310,Prime,Nanditha Swetha,2021,4
346,Netflix,Julie Tejwani,2012,4
361,Prime,Murli Sharma,2019,4
348,Prime,Sudharani,2021,4
398,Prime,Taraji P. Henson,2010,4
384,Prime,Rana Daggubati,2017,4
385,Prime,Paz Vega,2019,4
386,Prime,Chiranjeevi,2019,4
387,Prime,Kai Inowaki,2019,4
388,Netflix,Prabhas,2015,4
389,Netflix,Rana Daggubati,2015,4
390,Netflix,Pavel Navageethan,2021,4
391,Netflix,Yuki Kaji,2019,4
392,Netflix,Kana Hanazawa,2018,4
393,Netflix,Yograj Singh,2016,4
394,Prime,Daniel Balaji,2021,4
395,Prime,Tiger Shroff,2019,4
396,Netflix,Diana Kaarina,2018,4
397,Netflix,Mahershala Ali,2018,4
399,Netflix,Ashleigh Ball,2017,4
349,Prime,Pankaj Tripathi,2017,4
400,Netflix,Erin Mathews,2019,4
401,Netflix,Tracy Morgan,2017,4
402,Prime,Harsha,2021,4
403,Prime,Arun Vijay,2019,4
404,Netflix,Robb Wells,2014,4
405,Netflix,Jim Sarbh,2018,4
406,Netflix,Susan Sarandon,2015,4
407,Prime,Sonu Gowda,2021,4
408,Prime,Arvind Swamy,2021,4
409,Netflix,Richard Mofe-Damijo,2019,4
410,Netflix,Samantha Ruth Prabhu,2019,4
411,Prime,Naresh,2021,4
412,Prime,Aishwarya Rajesh,2021,4
279,Netflix,Anushka Shetty,2015,4
383,Prime,Naoto Ogata,2019,4
382,Prime,Anant Nag,2018,4
381,Netflix,Zach Callison,2020,4
380,Prime,Pankaj Tripathi,2018,4
350,Netflix,Avantika Vandanapu,2021,4
351,Netflix,Ramya Krishnan,2015,4
352,Netflix,Sarah Silverman,2017,4
353,Prime,Koji Kikkawa,2019,4
354,Netflix,Brennley Brown,2020,4
355,Netflix,Kate Higgins,2013,4
356,Netflix,Erin Fitzgerald,2013,4
357,Netflix,Tamannaah Bhatia,2015,4
358,Prime,Akshay Kumar,2018,4
359,Netflix,Michael Peña,2018,4
360,Netflix,Eric Peterson,2020,4
362,Prime,Alex J. Murphy,2001,4
363,Netflix,Andrew Rannells,2020,4
364,Netflix,Julie Lemieux,2020,4
365,Netflix,B.N. Sharma,2013,4
366,Netflix,Grey Griffin,2020,4
367,Netflix,Maya Rudolph,2020,4
368,Prime,Sai Kumar Pudipeddi,2021,4
369,Netflix,Kareena Kapoor,2004,4
370,Netflix,Rene Naufahu,2011,4
371,Netflix,Sam Vincent,2018,4
372,Netflix,Bayoumi Fouad,2019,4
373,Prime,Jessica Lucas,2011,4
374,Netflix,Robert Forster,2017,4
375,Netflix,Alfred Molina,2016,4
376,Prime,Mammootty,2021,4
377,Netflix,Toby Huss,2017,4
378,Prime,Basil Rathbone,1946,4
379,Prime,Josh Lucas,2011,4
280,Netflix,Viola Davis,2020,4
322,Netflix,Keegan-Michael Key,2019,4
278,Netflix,Sudeep,2015,4
186,Prime,Naveen Chandra,2020,4
192,Netflix,Giancarlo Esposito,2017,4
191,Netflix,Brian Drummond,2019,4
190,Netflix,Rupa Bhimani,2019,4
189,Prime,Gail Davis,1953,4
188,Netflix,Kate Walsh,2020,4
187,Netflix,Hector David Jr.,2011,4
185,Prime,Grant Withers,1939,4
211,Netflix,Danny Trejo,2018,4
184,Prime,Sneha,2020,4
183,Prime,Tamannaah Bhatia,2019,4
182,Netflix,Tomokazu Sugita,2018,4
181,Netflix,Xu Bin,2014,4
180,Prime,Brandon T. Jackson,2011,4
179,Prime,Shuhei Nomura,2019,4
193,Hulu,Nicolas Cage,2019,4
194,Netflix,Common,2016,4
195,Netflix,Pankaj Tripathi,2017,4
196,Netflix,Takehito Koyasu,2018,4
197,Netflix,Bimbo Manuel,2019,4
198,Prime,Bill Corbett,2019,4
199,Prime,Danny Trejo,2018,4
200,Netflix,Rao Ramesh,2019,4
201,Netflix,Kyle Breitkopf,2019,4
202,Netflix,Cam Clarke,2013,4
203,Netflix,Yuki Kaji,2017,4
204,Prime,Naveen Chandra,2021,4
205,Netflix,Maisie Benson,2020,4
206,Netflix,Takahiro Sakurai,2020,4
207,Prime,Sudeep,2019,4
208,Netflix,Sabina Malik,2019,4
209,Prime,Rao Ramesh,2021,4
178,Netflix,Brittany Anne Pirtle,2011,4
177,Prime,Thavasi,2021,4
176,Netflix,Ken Marino,2020,4
159,Prime,John Wayne,1963,4
277,Prime,Indrans,2021,4
145,Prime,Steve Carell,2010,4
146,Netflix,Anupam Kher,2017,4
147,Prime,Kevin Murphy,2019,4
148,Netflix,Mike Smith,2014,4
149,Prime,Kangana Ranaut,2021,4
150,Netflix,Andy Richter,2017,4
151,Prime,Vasishta N. Simha,2018,4
152,Netflix,Rajesh Kava,2012,4
153,Prime,Atsushi Ogata,2019,4
154,Netflix,Kerry Gudjohnsen,2020,4
156,Netflix,John Paul Tremblay,2014,4
157,Netflix,Cindy Robinson,2011,4
158,Netflix,Anupam Kher,2008,4
160,Netflix,Anupam Kher,2006,4
175,Netflix,Sathyaraj,2015,4
161,Prime,Satyadev,2019,4
162,Prime,Raveena,2021,4
163,Netflix,Samuel West,2014,4
164,Netflix,Sean Astin,2019,4
165,Netflix,Vir Das,2020,4
166,Prime,Jagapati Babu,2018,4
167,Prime,Eric Roberts,2021,4
168,Netflix,Britt McKillip,2018,4
169,Netflix,Madhuri,2021,4
170,Netflix,Junichi Suwabe,2018,4
171,Prime,Varsha Bollamma,2020,4
172,Netflix,Keith David,2018,4
173,Prime,Lexi Giovagnoli,2016,4
174,Netflix,Sathyaraj,2017,4
210,Netflix,Danny Trejo,2019,4
155,Prime,Yuki Morinaga,2019,4
212,Prime,John Wayne,1934,4
261,Prime,Mehreen Pirzada,2019,4
247,Netflix,Nicolas Aqui,2020,4
248,Netflix,Richard Mofe-Damijo,2018,4
249,Prime,Nigel Bruce,1946,4
