,service,qnt,cnt
0,Prime,Mark Knight,114
1,Prime,Cannis Holder,62
2,Prime,Moonbug Entertainment,37
3,Prime,Jay Chapman,34
4,Prime,Arthur van Merwijk,30
5,Prime,Manny Rodriguez,23
6,Netflix,Rajiv Chilaka,22
7,Netflix,Jan Suter,21
8,Prime,John English,20
9,Netflix,Raúl Campos,19
10,Prime,Brian Volk-Weiss,19
11,Prime,D.J. Viola,19
12,Disney,Jack Hannah,17
14,Netflix,Marcus Raboy,16
15,Disney,Paul Hoen,16
16,Netflix,Suhas Kadav,16
17,Disney,John Lasseter,16
18,Prime,1,16
13,Disney,Wilfred Jackson,16
19,Netflix,Jay Karas,15
20,Prime,Nick Hatton Jones,14
21,Prime,Baeble Music,14
22,Prime,Richard Hickey,14
25,Disney,Clyde Geronimi,13
26,Disney,Robert Stevenson,13
24,Prime,Joseph Kane,13
23,Netflix,Cathy Garcia-Molina,13
27,Disney,Charles Nichols,12
28,Netflix,Jay Chapman,12
29,Netflix,Youssef Chahine,12
30,Netflix,Martin Scorsese,12
31,Prime,Michael J. Nelson,12
32,Prime,William Wyler,12
33,Prime,George Archainbaud,12
34,Disney,Jack Kinney,12
37,Prime,Pinkfong,11
38,Disney,James Algar,11
39,Netflix,Steven Spielberg,11
36,Prime,William Nigh,11
35,Prime,Aaron Michael,11
40,Prime,Tim Gray,10
41,Netflix,Don Michael Paul,10
42,Disney,Bob Peterson,10
43,Prime,Percy Adlon,10
44,Prime,Bruce Legg,10
45,Disney,Vincent McEveety,10
46,Prime,Mora TV,10
54,Prime,Arthur Merkulov,9
59,Netflix,David Dhawan,9
58,Disney,Hamilton Luske,9
57,Disney,Kenny Ortega,9
56,Prime,John Asher,9
55,Prime,Craig Moss,9
47,Prime,Christian Hughes,9
53,Prime,William Hoareau,9
51,Prime,Doug Campbell,9
50,Netflix,Anurag Kashyap,9
49,Netflix,Shannon Hartman,9
48,Netflix,Yılmaz Erdoğan,9
52,Prime,Frank McDonald,9
70,Netflix,Johnnie To,8
80,Netflix,Ryan Polito,8
79,Disney,Stuart Gillard,8
78,Netflix,Hanung Bramantyo,8
77,Netflix,Robert Rodriguez,8
76,Netflix,Lance Bangs,8
75,Disney,Norman Tokar,8
73,Netflix,Umesh Mehra,8
72,Netflix,Kunle Afolayan,8
71,Prime,HooplaKidz,8
74,Disney,Robert Vince,8
69,Prime,Krishnan-Panju,8
67,Netflix,Justin G. Dyck,8
66,Netflix,Quentin Tarantino,8
65,Netflix,Troy Miller,8
64,Prime,Yash Chopra,8
63,Netflix,Hakan Algül,8
62,Prime,Stevin John,8
61,Prime,Sam Newfield,8
60,Disney,Duwayne Dunham,8
68,Netflix,Fernando Ayllón,8
104,Netflix,S.S. Rajamouli,7
98,Netflix,Toshiya Shinohara,7
99,Prime,Isaac Halasima,7
100,Prime,Fred Olen Ray,7
101,Netflix,Noah Baumbach,7
103,Disney,Ben Sharpsteen,7
109,Prime,Robert N. Bradbury,7
105,Disney,Ron Clements,7
106,Prime,Jim Wilmer,7
107,Netflix,Dibakar Banerjee,7
108,Prime,Jay Karas,7
110,Disney,John Musker,7
96,Netflix,Ozan Açıktan,7
97,Netflix,Omoni Oboli,7
102,Netflix,Ron Howard,7
95,Prime,Hemant Madhukar,7
88,Netflix,McG,7
94,Prime,Damien Eckhardt-Jacobi,7
82,Prime,Lokesh Kanagaraj,7
84,Netflix,Lasse Hallström,7
85,Netflix,Leslie Small,7
86,Prime,Noriaki Yuasa,7
87,Netflix,Clint Eastwood,7
83,Prime,Shiva Nirvana,7
89,Prime,Vincent Bova,7
90,Netflix,Hidenori Inoue,7
91,Netflix,Priyadarshan,7
93,Netflix,Ram Gopal Varma,7
92,Netflix,Prakash Satam,7
81,Netflix,Mae Czarina Cruz,7
142,Prime,Cameron Crowe,6
145,Netflix,Riri Riza,6
144,Disney,Wolfgang Reitherman,6
143,Netflix,Manny Rodriguez,6
139,Netflix,Robert Luketic,6
141,Prime,Anthony C. Ferrante,6
140,Prime,Inc.,6
138,Prime,Bharathiraja,6
137,Netflix,Robert Vince,6
147,Prime,John Ford,6
146,Netflix,Anees Bazmee,6
155,Netflix,Kevin Smith,6
148,Netflix,Sameh Abdulaziz,6
149,Netflix,Sooraj R. Barjatya,6
151,Netflix,Ashutosh Gowariker,6
152,Disney,Bradley Raymond,6
153,Netflix,Michael Simon,6
154,Netflix,Rajkumar Santoshi,6
135,Netflix,Steve Ball,6
156,Prime,Steven T. Shippy,6
157,Netflix,Rocky Soraya,6
158,Prime,Shinpei Miyashita,6
159,Netflix,Matt Askem,6
136,Netflix,Milan Luthria,6
150,Prime,Andrew V. McLaglen,6
134,Prime,Roger Corman,6
121,Netflix,Zoya Akhtar,6
133,Netflix,Karan Johar,6
112,Disney,Jon Turteltaub,6
113,Netflix,Vlad Yudin,6
114,Prime,William Witney,6
115,Prime,Nikita Yurov,6
116,Netflix,Steven Soderbergh,6
117,Netflix,Wenn V. Deramas,6
118,Prime,Samuel Brownfield,6
119,Prime,Michael Feifer,6
120,Netflix,William Lau,6
111,Prime,Mohana Krishna Indraganti,6
122,Prime,Vladimir Gerasimov,6
124,Netflix,Imtiaz Ali,6
125,Netflix,Joey So,6
126,Netflix,David Fincher,6
127,Netflix,Wong Jing,6
128,Netflix,Tilak Shetty,6
129,Netflix,Jesse V. Johnson,6
130,Prime,Ryan Polito,6
131,Prime,Milton Lage,6
132,Prime,Mark Robson,6
123,Netflix,Steve Brill,6
221,Prime,Beasy Jones,5
218,Disney,Pete Docter,5
219,Disney,Kevin Deters,5
220,Disney,Chris Columbus,5
226,Netflix,Angga Dwimas Sasongko,5
222,Netflix,Detlev Buck,5
223,Prime,P. Vasu,5
224,Prime,Prashanth Neel,5
225,Netflix,Antoinette Jadaone,5
217,Netflix,Jay Roach,5
212,Netflix,Mahesh Manjrekar,5
216,Prime,John McTiernan,5
215,Disney,Rob Gibbs,5
214,Netflix,Lynn Shelton,5
213,Netflix,Madhur Bhandarkar,5
211,Netflix,Lilly Wachowski,5
210,Netflix,Thierry Donard,5
209,Prime,Jim Wynorski,5
208,Netflix,Martin Campbell,5
207,Netflix,Masahiko Murata,5
228,Prime,William Beaudine,5
227,Prime,Alex Gibney,5
240,Netflix,David Batty,5
229,Disney,David Silverman,5
230,Netflix,Alex Woo,5
205,Netflix,Ishi Rudell,5
249,Prime,A. C. Tirulokchandar,5
248,Prime,Woody Allen,5
247,Disney,Burt Gillett,5
246,Netflix,Anurag Basu,5
245,Disney,Greg Beeman,5
244,Prime,Rob Reiner,5
243,Disney,Brad Bird,5
242,Prime,A.L. Vijay,5
241,Disney,Alastair Fothergill,5
239,Prime,Armand Mastroianni,5
238,Prime,Anil Ravipudi,5
237,Netflix,Wilson Yip,5
236,Prime,Andrew Jones,5
235,Netflix,Andy Tennant,5
234,Prime,Yakov Smirnoff,5
233,Netflix,Ava DuVernay,5
232,Prime,Mike Nichols,5
231,Prime,Nico Mastorakis,5
206,Netflix,Mastan Alibhai Burmawalla,5
166,Netflix,Robb Wells,5
204,Disney,Michael Hegner,5
181,Netflix,Rajiv Mehra,5
179,Prime,Tim Fywell,5
178,Disney,Jack King,5
177,Netflix,Prakash Jha,5
176,Netflix,Poj Arnon,5
175,Netflix,Rathindran R Prasad,5
174,Netflix,Vince Marcello,5
173,Prime,Test Director,5
172,Prime,Hark Tsui,5
171,Netflix,Paul Thomas Anderson,5
170,Netflix,Abhishek Chaubey,5
169,Prime,Roy William Neill,5
168,Netflix,Abbas Alibhai Burmawalla,5
167,Netflix,Oliver Stone,5
165,Disney,Stevie Wermers-Skelton,5
164,Prime,Sudha Kongara,5
163,Netflix,Mike Smith,5
161,Netflix,Nagesh Kukunoor,5
160,Netflix,Rohit Shetty,5
203,Netflix,Mani Ratnam,5
180,Netflix,Vishal Bhardwaj,5
162,Netflix,Niyi Akinmolayan,5
182,Prime,Tony Charmoli,5
193,Prime,Scott Jeffrey,5
183,Netflix,Indra Kumar,5
201,Netflix,Shigeaki Kubo,5
202,Prime,Randall Miller,5
199,Prime,Diane Paloma Eskenazi,5
198,Prime,Shawn Levy,5
197,Netflix,Ken Burns,5
196,Prime,Julian Grant,5
195,Netflix,Stanley Moore,5
194,Prime,Kevin Connor,5
200,Prime,Ulli Lommel,5
192,Netflix,Khaled Marei,5
187,Netflix,Lana Wachowski,5
191,Netflix,Spike Lee,5
185,Netflix,John Paul Tremblay,5
184,Netflix,Mike Clattenburg,5
186,Netflix,Joe Berlinger,5
188,Netflix,Kıvanç Baruönü,5
189,Netflix,John G. Avildsen,5
190,Prime,Siddharth Anand,5
356,Netflix,Sean McNamara,4
355,Netflix,Frank Capra,4
357,Netflix,Ahmed Nader Galal,4
358,Disney,Alex Zamm,4
359,Disney,Byron Howard,4
360,Netflix,Wael Ihsan,4
361,Netflix,Wael Ehsan,4
362,Netflix,Fajar Bustomi,4
366,Netflix,Farah Khan,4
363,Netflix,Raja Gosnell,4
364,Prime,Rama Narayanan,4
365,Netflix,Qaushiq Mukherjee,4
367,Netflix,Farhan Akhtar,4
368,Netflix,Ahmad El-Badri,4
369,Netflix,Antonio Campos,4
370,Netflix,Werner Herzog,4
371,Netflix,Rakeysh Omprakash Mehra,4
372,Netflix,Ernie Barbarash,4
354,Netflix,Luis Ara,4
344,Disney,Andrew Stanton,4
353,Netflix,Gregory Hoblit,4
352,Prime,Santhosh Ananddram,4
335,Disney,Carlos Saldanha,4
374,Netflix,Vikramaditya Motwane,4
336,Prime,Richard Roy,4
337,Netflix,Philippe Aractingi,4
338,Prime,Bruce Beresford,4
339,Netflix,Antoine Fuqua,4
340,Prime,Robin Sheppard,4
341,Prime,Michael Apted,4
342,Netflix,Peter Segal,4
343,Prime,Timothy Armstrong,4
345,Disney,Chris Buck,4
346,Netflix,Savage Steve Holland,4
347,Netflix,Peter Farrelly,4
348,Netflix,B. V. Nandini Reddy,4
349,Prime,Russell Mulcahy,4
350,Prime,John Hussey,4
351,Prime,John Huston,4
373,Disney,George Lucas,4
396,Disney,Anthony Russo,4
375,Prime,magnolia,4
397,Netflix,Rob Reiner,4
399,Prime,MarVista Entertainment,4
400,Prime,Ida Lupino,4
401,Prime,Ali Abbas Zafar,4
402,Prime,Mahesh Kothare,4
403,Disney,Keith Scholey,4
404,Netflix,Banjong Pisanthanakun,4
405,Prime,Spike Lee,4
406,Prime,Hideaki Anno,4
407,Disney,Joe Russo,4
408,Prime,Howard Bretherton,4
409,Prime,John Whitesell,4
410,Disney,Angus MacLane,4
411,Prime,David Attwood,4
412,Prime,Sankalp,4
413,Prime,Elmer Clifton,4
414,Prime,William Dear,4
333,Netflix,Paul Dugdale,4
398,Netflix,Rob Minkoff,4
395,Netflix,Maroun Baghdadi,4
376,Netflix,Fernando González Molina,4
394,Netflix,Shaun Paul Piccinino,4
377,Netflix,Chia-Liang Liu,4
378,Prime,Dan Fraga,4
379,Disney,Rob Marshall,4
380,Netflix,Kundan Shah,4
381,Netflix,Edward Cotterill,4
382,Prime,Martin Ritt,4
383,Netflix,Yoshiyuki Tomino,4
384,Netflix,Hiroyuki Seshita,4
385,Netflix,Hrishikesh Mukherjee,4
386,Disney,Bryan Singer,4
387,Prime,Chuck Vinson,4
388,Netflix,Alastair Fothergill,4
389,Netflix,Lucas Margutti,4
390,Disney,Jon Favreau,4
391,Netflix,Hernán Zin,4
392,Netflix,Barry Avrich,4
393,Prime,Christopher Morahan,4
334,Prime,Stanley Donen,4
313,Prime,Steven Feinartz,4
332,Prime,Uwe Boll,4
279,Netflix,Bo Burnham,4
271,Prime,Jerry Warren,4
272,Netflix,Shyam Benegal,4
273,Prime,Glenn Jordan,4
274,Prime,Jonathan Demme,4
275,Netflix,Lee Tamahori,4
276,Hulu,Ron Howard,4
277,Netflix,Terry Gilliam,4
278,Prime,Chris Seaver,4
280,Prime,David Stoten,4
290,Netflix,Mike Gunther,4
281,Prime,Robert Iscove,4
282,Prime,USP Studios,4
283,Prime,Neville Shah,4
284,Netflix,Jeremy Saulnier,4
285,Prime,Thomas Lucas,4
286,Disney,Tim Burton,4
287,Netflix,Michael McKay,4
288,Netflix,Mike Newell,4
270,Prime,Satyajit Ray,4
269,Prime,Lloyd Goldfine,4
268,Prime,R.S Durai Senthilkumar,4
267,Prime,Kunihiko Yuyama,4
331,Netflix,Dennis Dugan,4
250,Netflix,Rohit Jugraj,4
251,Prime,Simon Curtis,4
252,Prime,Pradeep Krishnamoorthy,4
253,Prime,Douglas Barr,4
254,Prime,Zeptolab,4
255,Netflix,David Zucker,4
256,Prime,Richard Fleischer,4
257,Hulu,Sam Raimi,4
258,Prime,Frank Capra,4
259,Netflix,Roger Kumble,4
260,Disney,Walt Disney,4
261,Prime,Eric Till,4
262,Prime,Lakshmy Ramakrishnan,4
263,Netflix,John Huston,4
264,Prime,Brett Kelly,4
265,Disney,Kevin Lima,4
289,Prime,K. Muralimohana Rao,4
266,Netflix,Nishikant Kamat,4
291,Prime,Ridley Scott,4
311,Prime,Super Simple Songs,4
314,Prime,Keoni Waxman,4
315,Netflix,Moses Inwang,4
316,Netflix,Sudhir Mishra,4
317,Prime,Shakti Samanta,4
318,Prime,Sujeeth,4
319,Netflix,Subhash Ghai,4
320,Prime,Kazuya Tsurumaki,4
322,Netflix,Sam Liu,4
323,Prime,Sidney Lumet,4
324,Prime,Karan Johar,4
325,Netflix,Karthik Subbaraj,4
326,Disney,Bill Roberts,4
327,Prime,Kabir Khan,4
328,Netflix,Brad Anderson,4
329,Netflix,Kayode Kasum,4
292,Netflix,Mike Flanagan,4
330,Netflix,Chris Stokes,4
312,Prime,Seth Breedlove,4
321,Netflix,Jun Lana,4
310,Netflix,Steve Carr,4
302,Netflix,Stan Lathan,4
294,Prime,Tony Bill,4
295,Prime,Philippa Lowthorpe,4
296,Netflix,Brian Levant,4
297,Prime,Phil Karlson,4
298,Prime,Sheldon Larry,4
300,Netflix,Clay Glen,4
301,Netflix,Michael Tiddes,4
299,Netflix,Cristina Jacob,4
293,Prime,Jason Friedberg,4
304,Prime,Alan Metzger,4
305,Netflix,Bruno Garotti,4
306,Netflix,Conrad Helten,4
307,Netflix,Dan Villegas,4
308,Netflix,Christopher Storer,4
309,Netflix,David Ayer,4
303,Disney,Steve Boyum,4
698,Netflix,Sunil Sukthankar,3
695,Prime,Venu Sriram,3
696,Netflix,Roger Allers,3
697,Disney,Don Bluth,3
704,Disney,Joe Johnston,3
703,Netflix,Roger Donaldson,3
699,Disney,James Bobin,3
700,Netflix,Soudade Kaadan,3
701,Netflix,Vikas Bahl,3
694,Prime,Frank R. Strayer,3
702,Disney,Nathan Greno,3
687,Hulu,Len Wiseman,3
693,Prime,Bobby Roth,3
692,Prime,Elisa Amoruso,3
691,Disney,Don Hall,3
690,Netflix,Satish Rajwade,3
689,Disney,Randal Kleiser,3
688,Netflix,Wolfgang Petersen,3
683,Netflix,Alfonso Cuarón,3
686,Netflix,Karyn Kusama,3
685,Prime,K. Shankar,3
706,Prime,Aditya Chopra,3
684,Netflix,Alexis Morante,3
705,Disney,Tim Hill,3
725,Netflix,Tom Hooper,3
707,Netflix,Roland Emmerich,3
708,Prime,Aditya Sarpotdar,3
731,Prime,Brett Jubinville,3
681,Prime,Shashank Khaitan,3
730,Netflix,Robert O. Peters,3
729,Disney,Oz Scott,3
728,Prime,Vicente Aranda,3
727,Prime,Fritz Lang,3
726,Prime,A.R. Murugadoss,3
724,Netflix,Vivieno Caldinelli,3
723,Prime,Tristan Dubois,3
722,Disney,Norman Foster,3
721,Netflix,Scott Stewart,3
720,Netflix,Rob Cohen,3
719,Prime,Victor Halperin,3
718,Netflix,Sofia Coppola,3
717,Prime,A. L. Vijay,3
716,Prime,Werner Herzog,3
715,Netflix,TJ Sullivan,3
714,Netflix,Ricky Gervais,3
713,Netflix,Richard Weston,3
712,Netflix,Scott Zabielski,3
711,Netflix,Vicky Matthews,3
710,Netflix,Sylvester Stallone,3
709,Netflix,Robert Zemeckis,3
682,Prime,Robert Benton,3
640,Netflix,Louis C.K.,3
680,Netflix,Kazuchika Kise,3
653,Netflix,Jon Rosenbaum,3
651,Prime,Robert Fernandez,3
650,Prime,Shaad Ali,3
649,Netflix,Dante Lam,3
648,Prime,Ken Russell,3
647,Netflix,John Schultz,3
646,Prime,Shigeyasu Yamauchi,3
645,Netflix,Kim Nguyen,3
644,Netflix,Kobun Shizuno,3
643,Netflix,Linda Mendoza,3
642,Prime,John Sayles,3
641,Prime,John Reinhardt,3
733,Netflix,Walter C. Miller,3
639,Prime,John Moore,3
638,Netflix,Chris Smith,3
637,Hulu,Josh Greenbaum,3
636,Netflix,Amitoj Mann,3
635,Prime,Siu-Tung Ching,3
634,Prime,John McKay,3
633,Prime,Sreenivass Redde,3
632,Netflix,Maclain Way,3
631,Netflix,Amr Arafa,3
630,Netflix,Mahesh Bhatt,3
629,Netflix,Chris Buck,3
652,Netflix,Jonathan Demme,3
654,Netflix,Jon M. Chu,3
679,Prime,K. Bapaiah,3
655,Prime,Kriv Stenders,3
678,Prime,Noah Baumbach,3
677,Netflix,Kemi Adetiba,3
676,Prime,Norman Z. McLeod,3
675,Netflix,Ken Ghosh,3
674,Prime,Justin Lee,3
673,Netflix,Kenneth Gyang,3
672,Netflix,Ketan Mehta,3
671,Prime,Not Available,3
670,Netflix,Craig Brewer,3
669,Prime,Nikkhil Advani,3
668,Prime,Shankar,3
667,Prime,Karen Shakhnazarov,3
666,Netflix,Julien Leclercq,3
665,Netflix,Alex Díaz,3
664,Netflix,John Asher,3
663,Prime,Lance Bangs,3
662,Netflix,John Fortenberry,3
661,Prime,Robert Greenwald,3
660,Prime,Sean McNamara,3
659,Netflix,John Lee Hancock,3
658,Hulu,Peter Nicks,3
657,Netflix,Kief Davidson,3
656,Netflix,Alex Lehmann,3
732,Netflix,Sumitra Bhave,3
775,Netflix,Simon Wincer,3
734,Disney,Jeremy Lasky,3
789,Prime,Eashvar Karthic,3
813,Prime,Gil Cunha,3
