,service,qnt,cnt
0,Prime,Drama,3687
1,Netflix,International Movies,2752
2,Netflix,Dramas,2427
3,Prime,Comedy,2099
4,Netflix,Comedies,1674
5,Prime,Action,1657
6,Prime,Suspense,1501
7,Netflix,International TV Shows,1351
8,Prime,Kids,1085
9,Prime,Documentary,993
10,Prime,Special Interest,980
11,Hulu,Drama,907
12,Prime,Horror,875
13,Netflix,Documentaries,869
14,Netflix,Action & Adventure,859
15,Netflix,TV Dramas,763
16,Netflix,Independent Movies,756
17,Prime,Romance,674
18,Hulu,Comedy,667
19,Netflix,Children & Family Movies,641
20,Disney,Family,632
21,Netflix,Romantic Movies,616
22,Netflix,TV Comedies,581
23,Netflix,Thrillers,577
24,Hulu,Adventure,556
25,Hulu,Action,555
26,Prime,Animation,547
27,Disney,Animation,542
28,Disney,Comedy,526
29,Hulu,Documentaries,524
30,Prime,Arts,483
31,Prime,Entertainment,483
32,Prime,and Culture,483
33,Netflix,Crime TV Shows,470
34,Prime,Science Fiction,457
35,Disney,Action-Adventure,452
36,Netflix,Kids' TV,451
37,Netflix,Docuseries,395
38,Netflix,Music & Musicals,375
39,Netflix,Romantic TV Shows,370
40,Netflix,Horror Movies,357
41,Prime,International,355
42,Netflix,Stand-Up Comedy,343
43,Hulu,Anime,329
44,Hulu,Horror,304
45,Prime,TV Shows,263
46,Prime,Adventure,259
47,Netflix,Reality TV,255
48,Netflix,British TV Shows,253
49,Hulu,Reality,247
50,Netflix,Sci-Fi & Fantasy,243
51,Prime,Western,234
52,Hulu,Thriller,231
53,Netflix,Sports Movies,219
54,Hulu,Crime,217
55,Hulu,International,216
56,Disney,Animals & Nature,208
57,Disney,Coming of Age,205
58,Hulu,Family,205
59,Disney,Fantasy,192
60,Hulu,Romance,186
61,Netflix,Anime Series,176
62,Netflix,Spanish-Language TV Shows,174
63,Disney,Documentary,174
64,Netflix,TV Action & Adventure,168
65,Hulu,Kids,162
66,Prime,Sports,160
67,Hulu,Lifestyle & Culture,155
68,Prime,Music Videos and Concerts,155
69,Prime,Unscripted,152
70,Netflix,Korean TV Shows,151
71,Prime,Arthouse,141
72,Disney,Kids,141
73,Hulu,Sports,139
74,Disney,Drama,134
76,Disney,Docuseries,122
75,Hulu,Science Fiction,122
77,Hulu,Sitcom,118
78,Netflix,Classic Movies,116
79,Hulu,Black Stories,113
80,Prime,LGBTQ,113
81,Hulu,News,106
82,Netflix,LGBTQ Movies,102
83,Netflix,TV Mysteries,98
84,Netflix,Science & Nature TV,92
85,Hulu,Latino,92
86,Disney,Science Fiction,91
87,Prime,Young Adult Audience,87
88,Netflix,TV Sci-Fi & Fantasy,84
89,Prime,Fitness,83
90,Hulu,Mystery,81
91,Hulu,Cooking & Food,80
92,Prime,Anime,80
93,Hulu,Music,79
94,Netflix,TV Horror,75
96,Netflix,Anime Features,71
95,Netflix,Cult Movies,71
97,Hulu,History,70
98,Netflix,Teen TV Shows,69
99,Prime,Fantasy,68
100,Hulu,LGBTQ+,67
101,Prime,Faith and Spirituality,66
102,Netflix,Faith & Spirituality,65
103,Netflix,Movies,57
104,Netflix,TV Thrillers,57
105,Netflix,Stand-Up Comedy & Talk Shows,56
106,Disney,Historical,53
107,Disney,Music,48
108,Hulu,Science & Technology,48
109,Disney,Musical,44
110,Prime,Military and War,44
111,Disney,Sports,43
112,Disney,Biographical,41
113,Disney,Buddy,40
114,Hulu,Adult Animation,37
115,Hulu,Classics,35
117,Hulu,Teen,34
116,Hulu,Cartoons,34
118,Prime,Historical,31
119,Netflix,Classic & Cult TV,28
120,Disney,Anthology,28
121,Disney,Reality,26
122,Disney,Romance,20
123,Disney,Superhero,19
124,Hulu,Game Shows,18
126,Disney,Crime,16
125,Netflix,TV Shows,16
127,Prime,Talk Show and Variety,14
128,Hulu,Stand Up,12
129,Disney,Variety,12
130,Disney,Mystery,12
131,Disney,Game Show / Competition,10
132,Disney,Parody,9
133,Disney,Survival,9
135,Hulu,Health & Wellness,8
134,Disney,Lifestyle,8
136,Disney,Concert Film,7
137,Disney,Western,7
138,Disney,Dance,6
139,Disney,Medical,6
140,Disney,Thriller,5
141,Disney,Anime,4
142,Hulu,Late Night,4
145,Disney,Movies,3
146,Disney,Spy/Espionage,3
144,Disney,Series,3
143,Hulu,Sketch Comedy,3
147,Disney,Disaster,2
148,Disney,Soap Opera / Melodrama,2
149,Disney,Romantic Comedy,2
150,Disney,Police/Cop,1
151,Disney,Travel,1
152,Disney,Talk Show,1
